key,en,fr
indicator:variable_hint,Available when '%field' is selected,
indicator:no_data_hint,No options available because of filters above,
indicator:download_headline,Download Headline CSV,
indicator:download_headline_title,Download headline data as CSV,
indicator:download_source,Download Source CSV,
indicator:download_source_title,Download source data as CSV,
indicator:download_chart,Download Chart CSV,
indicator:download_table,Download Table CSV,
indicator:download_csv,Download CSV,
indicator:download_csv_title,Download as CSV,
indicator:download_chart_image,Download Chart Image,
indicator:download_chart_image_title,Download chart as image,
indicator:download_geojson,Download GeoJSON,
indicator:download_geojson_title,Download as GeoJSON,
indicator:source,Source,
indicator:sources,Sources,
indicator:geographical_area,Geographical Area,
indicator:unit_of_measurement,Unit of Measurement,
indicator:footnote,Footnote,
indicator:units_type,Units type,
indicator:dataset_size_warning,There are too many datasets to show on the chart. Not all will be shown until you remove some selections.,
indicator:view_indicator_list,View this goal's indicator list,
indicator:sub_categories,Sub-categories,
indicator:series_help,Choose categories from the dropdowns below to see different breakdowns of the data. Some will not be available until a higher level is chosen.,
indicator:legend_help,Click on the legend to remove individual lines from the chart.,
indicator:chart,Chart,
indicator:table,Table,
indicator:map,Map,
indicator:loading_map,Loading map,
indicator:national_metadata,National Metadata,
indicator:national_metadata_blurb,"This table provides metadata for the actual indicator available from %country_name statistics closest to the corresponding global SDG indicator. Please note that even when the global SDG indicator is fully available from %country_adjective statistics, this table should be consulted for information on national methodology and other %country_adjective-specific metadata information.",
indicator:global_metadata,Global Metadata,
indicator:global_metadata_blurb,"This table provides information on metadata for SDG indicators as defined by the UN Statistical Commission. <a href=""https://unstats.un.org/sdgs/metadata/"">Complete global metadata</a> is provided by the UN Statistics Division.",
indicator:edit,Edit,
indicator:edit_data,Edit Data,
indicator:edit_metadata,Edit Metadata,
header:skip_link,Skip to main content,
header:alpha,Alpha,
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",
header:tag_line,17 Goals to Transform our World,
header:high_contrast,High contrast,
header:default_contrast,Default contrast,
header:enable_high_contrast,Enable high contrast,
header:disable_high_contrast,Disable high contrast,
calendar:January,January,
calendar:February,February,
calendar:March,March,
calendar:April,April,
calendar:May,May,
calendar:June,June,
calendar:July,July,
calendar:August,August,
calendar:September,September,
calendar:October,October,
calendar:November,November,
calendar:December,December,
post:posts_by_category,Posts by Category,
post:view_all_in_category,View all posts in the %category_name category,
search:search,Search,
search:indicator_search,Indicator search,
search:search_results_for,Search results for,
search:found_in,found in,
search:keywords,Keywords,
search:no_results,No results,
search:did_you_mean,did you mean,
status:reporting_status,Reporting Status,
status:overall_reporting_status,Overall Reporting Status,
status:reported_online,Reported online,
status:statistics_in_progress,Statistics in progress,
status:exploring_data_sources,Exploring data sources,
status:not_applicable,Not applicable,
status:status_by_goal,Status by goal,
status:status_by_field,Status by %field,
menu:menu,Menu,
menu:reporting_status,Reporting Status,
menu:about,About,
menu:publications,Publications,
menu:guidance,Guidance,
menu:faq,FAQ,
menu:contact_us,Contact us,
menu:cookies,Cookies,
menu:updates,Updates,
global_goals:1-short,No poverty,
global_goals:10-short,Reduced inequalities,
global_goals:11-short,Sustainable cities & communities,
global_goals:12-short,Responsible consumption and production,
global_goals:13-short,Climate action,
global_goals:14-short,Life below water,
global_goals:15-short,Life on land,
global_goals:16-short,Peace and justice - strong institutions,
global_goals:17-short,Partnerships for the goals,
global_goals:2-short,Zero hunger,
global_goals:3-short,Good health and well-being,
global_goals:4-short,Quality education,
global_goals:5-short,Gender equality,
global_goals:6-short,Clean water and sanitation,
global_goals:7-short,Affordable and clean energy,
global_goals:8-short,Decent jobs and economic growth,
global_goals:9-short,"Industry, innovation and infrastructure",
general:indicator,Indicator,
general:indicators,Indicators,
general:goal,Goal,
general:goals,Goals,
general:sdg,Sustainable Development Goals,
general:home,Home,
general:loading,Loading search results,
general:opens_new_window,opens in a new window,
general:target,Target,
general:targets,Targets,
general:twitter,Twitter,
general:facebook,Facebook,
general:built_using_open_sdg,Built using Open SDG,
general:page,Page,
general:pages,Pages,
